      Date | Open    | High    |  Low    | Close   | Adj Cl… |    Volume
2022-10-18 | 6098.60 | 6139.78 | 6057.38 | 6067.00 | 6067.00 |  66543800
2022-10-19 | 6092.77 | 6109.97 | 6040.72 | 6040.72 | 6040.72 |  66384700
2022-10-20 | 6046.81 | 6103.50 | 6029.53 | 6086.90 | 6086.90 |  62634500
2022-10-21 | 6021.58 | 6056.04 | 5952.88 | 6035.39 | 6035.39 |  72699400
2022-10-24 | 6076.20 | 6175.62 | 6041.14 | 6131.36 | 6131.36 |  78770900
2022-10-25 | 6172.65 | 6253.12 | 6135.38 | 6250.55 | 6250.55 |  78255100
2022-10-26 | 6244.64 | 6282.75 | 6219.33 | 6276.31 | 6276.31 |  68833800
2022-10-27 | 6253.85 | 6272.20 | 6194.33 | 6244.03 | 6244.03 |  85178900
2022-10-28 | 6192.18 | 6278.77 | 6183.41 | 6273.05 | 6273.05 |  72520200
2022-10-31 | 6279.70 | 6293.15 | 6244.08 | 6266.77 | 6266.77 |  66506100
2022-11-01 | 6329.76 | 6383.70 | 6306.05 | 6328.25 | 6328.25 |  60553400
2022-11-02 | 6351.31 | 6376.29 | 6273.55 | 6276.88 | 6276.88 |  68322300
2022-11-03 | 6209.63 | 6245.69 | 6191.73 | 6243.28 | 6243.28 |  70824300
2022-11-04 | 6291.39 | 6466.32 | 6289.07 | 6416.44 | 6416.44 |  99100700
2022-11-07 | 6379.49 | 6442.41 | 6363.70 | 6416.61 | 6416.61 |  74724700
2022-11-08 | 6391.75 | 6451.16 | 6378.32 | 6441.50 | 6441.50 |  63537800
2022-11-09 | 6426.80 | 6446.50 | 6405.84 | 6430.57 | 6430.57 |  65301500
2022-11-10 | 6396.59 | 6573.85 | 6381.42 | 6556.83 | 6556.83 | 115490300
2022-11-11 | 6612.93 | 6636.81 | 6573.87 | 6594.62 | 6594.62 |  98336500
2022-11-14 | 6622.42 | 6662.07 | 6603.56 | 6609.17 | 6609.17 |  78284400
2022-11-15 | 6626.82 | 6684.09 | 6621.82 | 6641.66 | 6641.66 |  75504200
2022-11-16 | 6647.40 | 6656.33 | 6587.20 | 6607.22 | 6607.22 |  85200600
2022-11-17 | 6624.47 | 6634.73 | 6522.28 | 6576.12 | 6576.12 |  70512200
2022-11-18 | 6620.58 | 6667.20 | 6601.56 | 6644.46 | 6644.46 |  83554600
2022-11-21 | 6625.10 | 6649.76 | 6613.92 | 6634.45 | 6634.45 |  65020100
2022-11-22 | 6643.70 | 6669.17 | 6615.58 | 6657.53 | 6657.53 |  63964600
2022-11-23 | 6677.97 | 6681.41 | 6642.03 | 6679.09 | 6679.09 |  55283400
2022-11-24 | 6683.44 | 6730.16 | 6679.80 | 6707.32 | 6707.32 |  53784900
2022-11-25 | 6710.36 | 6725.00 | 6686.63 | 6712.48 | 6712.48 |  47928700
2022-11-28 | 6678.11 | 6693.92 | 6641.30 | 6665.20 | 6665.20 |  66210300
2022-11-29 | 6686.96 | 6695.86 | 6649.88 | 6668.97 | 6668.97 |  64658900
2022-11-30 | 6706.67 | 6743.60 | 6678.75 | 6738.55 | 6738.55 | 137628600
2022-12-01 | 6784.60 | 6791.31 | 6730.55 | 6753.97 | 6753.97 |  76833000
2022-12-02 | 6728.86 | 6767.72 | 6689.76 | 6742.25 | 6742.25 |  73971700
2022-12-05 | 6728.71 | 6738.97 | 6685.52 | 6696.96 | 6696.96 |  64996300
2022-12-06 | 6677.49 | 6704.74 | 6656.93 | 6687.79 | 6687.79 |  68966200
2022-12-07 | 6687.34 | 6696.65 | 6642.44 | 6660.59 | 6660.59 |  70960500
2022-12-08 | 6677.00 | 6679.57 | 6629.36 | 6647.31 | 6647.31 |  67338600
2022-12-09 | 6671.78 | 6680.09 | 6618.27 | 6677.64 | 6677.64 |  73547100
2022-12-12 | 6647.90 | 6681.30 | 6634.97 | 6650.55 | 6650.55 |  62590500
2022-12-13 | 6672.22 | 6823.10 | 6642.09 | 6744.98 | 6744.98 |  86739300
2022-12-14 | 6727.75 | 6733.85 | 6694.33 | 6730.79 | 6730.79 |  76945400
2022-12-15 | 6674.29 | 6680.22 | 6503.00 | 6522.77 | 6522.77 | 103759900
2022-12-16 | 6505.63 | 6515.70 | 6418.95 | 6452.63 | 6452.63 | 156200000
2022-12-19 | 6470.93 | 6510.46 | 6470.93 | 6473.29 | 6473.29 |  64477300
2022-12-20 | 6418.69 | 6468.94 | 6388.23 | 6450.43 | 6450.43 |  74259100
2022-12-21 | 6469.11 | 6586.48 | 6467.57 | 6580.24 | 6580.24 |  70962400
2022-12-22 | 6587.50 | 6614.35 | 6503.88 | 6517.97 | 6517.97 |  56190600
2022-12-23 | 6513.20 | 6533.58 | 6476.05 | 6504.90 | 6504.90 |  42984900
2022-12-27 | 6559.63 | 6579.33 | 6543.26 | 6550.66 | 6550.66 |  33013100
